player,team,nation,pos,age,90s Playing Time,npxG Per 90 Minutes,G-PK Per 90 Minutes,xAG Per 90 Minutes,xG+xAG Per 90 Minutes,Sh/90 Standard,G/Sh Standard,PrgP,KP,PPA,CrsPA,PrgC Carries,CPA Carries,Succ Take-Ons,PrgR Receiving,TklW Tackles,Int,Won Aerial Duels,Fls Performance,Fld Performance,Att 3rd Touches,Mid 3rd Touches,Def 3rd Touches,cluster
Abdoul Koné,Reims,FRA,DF,18.0,2.1,0.0,0.0,0.3,0.3,0.0,0.0,5,2,1,0,3,1,2,1,7,2,0,2,4,9,54,55,9
Abdoulaye Doucouré,Everton,MLI,"FW,MF",30.0,29.2,0.3,0.24000000000000002,0.1,0.4,1.61,0.15,97,34,18,1,55,17,25,140,27,15,24,53,8,495,523,188,5
Abdoulaye Touré,Le Havre,GUI,MF,29.0,25.4,0.05,0.0,0.04,0.15,1.22,0.0,148,12,7,0,22,2,29,25,28,25,42,27,32,194,946,385,5
Abdukodir Khusanov,Lens,UZB,DF,19.0,9.0,0.02,0.0,0.01,0.030000000000000002,0.56,0.0,23,1,1,0,5,0,1,1,12,13,6,9,7,29,234,275,0
Abdul Mumin,Rayo Vallecano,GHA,DF,25.0,18.8,0.02,0.05,0.01,0.029999999999999995,0.32,0.17,38,4,4,0,6,0,2,4,10,22,39,15,16,25,359,578,4
Abdón Prats,Mallorca,ESP,"FW,MF",30.0,14.1,0.23,0.43,0.17,0.4000000000000001,2.34,0.18,26,14,8,0,9,5,8,49,4,2,39,18,18,181,171,34,8
Abou Lô,Metz,SEN,"MF,DF",23.0,2.2,0.06,0.0,0.16,0.22,0.4600000000000001,0.0,4,2,1,0,0,0,2,2,1,4,2,3,2,8,42,49,0
Aboubacar Ali,Strasbourg,COM,"MF,FW",17.0,1.4,0.17,0.0,0.049999999999999996,0.22,2.77,0.0,3,1,1,0,3,1,1,12,0,1,1,4,1,35,19,4,9
Achraf Dari,Brest,MAR,"DF,FW",24.0,1.3,0.04,0.0,0.0,0.04,0.74,0.0,8,0,0,0,0,0,0,0,1,5,4,2,1,3,46,54,0
Achraf Hakimi,Paris S-G,MAR,DF,24.0,21.5,0.19999999999999998,0.19,0.24000000000000002,0.44000000000000006,1.96,0.09999999999999999,218,43,45,13,84,22,27,230,19,12,9,22,26,835,976,425,5
